Row ID;Row Name;Unk0;Unk1;Unk2;Unk3;Unk4;Unk5;Unk6;Unk7;Unk8;Unk9;Unk10;Unk11;Unk12;Unk13;Unk14;Unk15;Unk16;Unk17;Unk18;Unk19;Unk20;Unk21;Unk22;Unk23;Unk24;Unk25;Unk26;Unk27
0;;0;1;0;0;1866882892;1916888434;1769428077;29811;0;0;0;0;1632132940;1147102318;2037214581;0;0;0;0;0;0;0;0;0;0;0;0;0
1;;0;1;0;0;1750359884;1416128361;1953720695;0;0;0;0;0;1986815312;1147106153;2037214581;0;0;0;0;0;0;0;0;0;0;0;0;0
2;;0;1;0;0;1866882892;1147106415;2037214581;49;0;0;0;0;1867800396;12389;0;0;0;0;0;0;0;0;0;0;0;0;0;0
3;;0;1;0;0;1631805260;1398761068;1953655147;0;0;0;0;0;1750359884;1600677737;1919511379;116;0;0;0;0;0;0;0;0;0;0;0;0
4;;0;1;0;0;1866882898;1916888434;1769428077;29811;0;0;0;0;1632132946;1147102318;2037214581;0;0;0;0;0;0;0;0;0;0;0;0;0
5;;0;1;0;0;1750359890;1416128361;1953720695;0;0;0;0;0;1986815312;1147106153;2037214581;0;0;0;0;0;0;0;0;0;0;0;0;0
6;;0;1;0;0;1866882898;1147106415;2037214581;49;0;0;0;0;1867800402;12389;0;0;0;0;0;0;0;0;0;0;0;0;0;0
7;;0;1;0;0;1631805266;1398761068;1953655147;0;0;0;0;0;1750359890;1600677737;1919511379;116;0;0;0;0;0;0;0;0;0;0;0;0
8;;0;1;0;0;1631805260;2002019948;7631721;0;0;0;0;0;1866882892;29807;0;0;0;0;0;0;0;0;0;0;0;0;0;0
9;;0;1;0;0;1631805266;2002019948;7631721;0;0;0;0;0;1866882898;29807;0;0;0;0;0;0;0;0;0;0;0;0;0;0
10;;0;1;0;0;1819045699;29281;0;0;0;0;0;0;1852403795;12901;0;0;0;0;0;0;0;0;0;0;0;0;0;0
11;;0;0;0;0;1750294348;1684829551;29285;0;0;0;0;0;1884643148;1416458817;1953720695;0;0;0;0;0;1816354636;1667855969;25964;0;0;0;0;0
12;;0;0;0;0;1884643148;1416458817;1953720695;49;0;0;0;0;1884643148;1098016112;28018;0;0;0;0;0;1884643148;1416458817;1953720695;0;0;0;0;0
13;;0;0;0;0;1816485708;7827298;0;0;0;0;0;0;1866882892;1918985586;109;0;0;0;0;0;1884643148;1098016112;28018;0;0;0;0;0
14;;0;0;0;0;1866882892;1916888434;1769428077;3241075;0;0;0;0;1866882892;1916888434;1769428077;29811;0;0;0;0;1866882892;1918985586;109;0;0;0;0;0
15;;0;0;0;0;1750359884;1416128361;1953720695;49;0;0;0;0;1750359884;6842217;0;0;0;0;0;0;1750359884;1416128361;1953720695;0;0;0;0;0
16;;0;0;0;0;1850433356;25957;0;0;0;0;0;0;1631805260;26220;0;0;0;0;0;0;1750359884;6842217;0;0;0;0;0;0
17;;0;0;0;0;1631805260;2002019948;829715305;0;0;0;0;0;1631805260;2002019948;7631721;0;0;0;0;0;1631805260;26220;0;0;0;0;0;0
18;;0;0;0;0;1850433356;1398760805;1953655147;0;0;0;0;0;1631805260;1398761068;1953655147;0;0;0;0;0;1750359884;1600677737;1919511379;116;0;0;0;0
19;;0;0;0;0;1750294354;1684829551;29285;0;0;0;0;0;1884643154;1416458817;1953720695;0;0;0;0;0;1816354642;1667855969;25964;0;0;0;0;0
20;;0;0;0;0;1884643154;1416458817;1953720695;49;0;0;0;0;1884643154;1098016112;28018;0;0;0;0;0;1884643154;1416458817;1953720695;0;0;0;0;0
21;;0;0;0;0;1816485714;7827298;0;0;0;0;0;0;1866882898;1918985586;109;0;0;0;0;0;1884643154;1098016112;28018;0;0;0;0;0
22;;0;0;0;0;1866882898;1916888434;1769428077;3241075;0;0;0;0;1866882898;1916888434;1769428077;29811;0;0;0;0;1866882898;1918985586;109;0;0;0;0;0
23;;0;0;0;0;1750359890;1416128361;1953720695;49;0;0;0;0;1750359890;6842217;0;0;0;0;0;0;1750359890;1416128361;1953720695;0;0;0;0;0
24;;0;0;0;0;1850433362;25957;0;0;0;0;0;0;1631805266;26220;0;0;0;0;0;0;1750359890;6842217;0;0;0;0;0;0
25;;0;0;0;0;1631805266;2002019948;829715305;0;0;0;0;0;1631805266;2002019948;7631721;0;0;0;0;0;1631805266;26220;0;0;0;0;0;0
26;;0;0;0;0;1850433362;1398760805;1953655147;0;0;0;0;0;1631805266;1398761068;1953655147;0;0;0;0;0;1750359890;1600677737;1919511379;116;0;0;0;0
27;;0;0;0;0;1766350668;112;0;0;0;0;0;0;1750359884;1416128361;1953720695;0;0;0;0;0;1986815312;1147106153;2037214581;0;0;0;0;0
28;;0;0;0;0;1866882892;2002023535;7631721;0;0;0;0;0;1866882892;1147106415;2037214581;50;0;0;0;0;1866882892;1147106415;2037214581;49;0;0;0;0
29;;0;0;0;0;1766350674;112;0;0;0;0;0;0;1750359890;1416128361;1953720695;0;0;0;0;0;1986815312;1147106153;2037214581;0;0;0;0;0
30;;0;0;0;0;1866882898;2002023535;7631721;0;0;0;0;0;1866882898;1147106415;2037214581;50;0;0;0;0;1866882898;1147106415;2037214581;49;0;0;0;0
300000;;3000;1;0;0;1631805260;1398761068;1953655147;0;0;0;0;0;1750359884;1600677737;1919511379;116;0;0;0;0;0;0;0;0;0;0;0;0
300001;;3000;1;0;0;1631805260;2002019948;7631721;0;0;0;0;0;1866882892;29807;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300002;;3000;1;0;0;1866882892;1147106415;2037214581;49;0;0;0;0;1867800396;12389;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300003;;3000;1;0;0;1866882892;1916888434;1769428077;29811;0;0;0;0;1632132940;1147102318;2037214581;0;0;0;0;0;0;0;0;0;0;0;0;0
300004;;3000;1;0;0;1750359884;1416128361;1953720695;0;0;0;0;0;1986815312;1147106153;2037214581;0;0;0;0;0;0;0;0;0;0;0;0;0
300005;;3000;1;0;0;1631805266;1398761068;1953655147;0;0;0;0;0;1750359890;1600677737;1919511379;116;0;0;0;0;0;0;0;0;0;0;0;0
300006;;3000;1;0;0;1631805266;2002019948;7631721;0;0;0;0;0;1866882898;29807;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300007;;3000;1;0;0;1866882898;1147106415;2037214581;49;0;0;0;0;1867800402;12389;0;0;0;0;0;0;0;0;0;0;0;0;0;0
300008;;3000;1;0;0;1866882898;1916888434;1769428077;29811;0;0;0;0;1632132946;1147102318;2037214581;0;0;0;0;0;0;0;0;0;0;0;0;0
300009;;3000;1;0;0;1750359890;1416128361;1953720695;0;0;0;0;0;1986815312;1147106153;2037214581;0;0;0;0;0;0;0;0;0;0;0;0;0
300010;;3000;0;0;0;1631805260;2002019948;829715305;0;0;0;0;0;1631805260;26220;0;0;0;0;0;0;1631805260;2002019948;7631721;0;0;0;0;0
300011;;3000;0;0;0;1816485708;7827298;0;0;0;0;0;0;1866882892;1918985586;109;0;0;0;0;0;1884643148;1098016112;28018;0;0;0;0;0
300012;;3000;0;0;0;1866882892;2002023535;7631721;0;0;0;0;0;1866882892;1147106415;2037214581;49;0;0;0;0;1866882892;1147106415;2037214581;50;0;0;0;0
