Row ID,Row Name,Unk0
10,test gem 1,1
20,test gem 2,1
30,test gem 3,1
40,Ash of War: Lion's Claw,1
41,Ash of War: Lion's Claw,1
80,Ash of War: Lion's Claw,1
81,Ash of War: Lion's Claw,1
82,Ash of War: Lion's Claw,1
83,Ash of War: Lion's Claw,1
84,Ash of War: Lion's Claw,1
85,Ash of War: Lion's Claw,1
86,Ash of War: Lion's Claw,1
87,Ash of War: Lion's Claw,1
88,Ash of War: Lion's Claw,1
89,Ash of War: Lion's Claw,1
90,Ash of War: Lion's Claw,1
100,Ash of War: Lion's Claw,1
101,Ash of War: Impaling Thrust,1
102,Ash of War: Piercing Fang,1
103,Ash of War: Spinning Slash,1
104,Ash of War: ,1
105,Ash of War: Charge Forth,1
106,Ash of War: Stamp (Upward Cut),1
107,Ash of War: Stamp (Sweep),1
108,Ash of War: Blood Tax,1
109,Ash of War: Repeating Thrust,1
110,Ash of War: Wild Strikes,1
111,Ash of War: Spinning Strikes,1
112,Ash of War: Double Slash,1
113,Ash of War: Prelate's Charge,1
114,Ash of War: Unsheathe,1
115,Ash of War: Square Off,1
116,Ash of War: Giant Hunt,1
117,Ash of War: Torch Attack,1
118,Ash of War: Loretta's Slash,1
119,Ash of War: Poison Moth Flight,1
120,Ash of War: Spinning Weapon,1
121,Ash of War: ,1
122,Ash of War: Storm Assault,1
123,Ash of War: Stormcaller,1
124,Ash of War: Sword Dance,1
125,Ash of War: Sacred Blade,1
126,Ash of War: Ice Spear,1
127,Ash of War: Glintstone Pebble,1
128,Ash of War: Bloody Slash,1
129,Ash of War: Lifesteal Fist,1
130,Ash of War: Eruption,1
131,Ash of War: Prayerful Strike,1
132,Ash of War: Gravitas,1
133,Ash of War: Storm Blade,1
134,Ash of War: Phantom Slash,1
135,Ash of War: Earthshaker,1
136,Ash of War: Golden Land,1
137,Ash of War: Flaming Strike,1
138,Ash of War: Thunderbolt,1
139,Ash of War: Lightning Slash,1
140,Ash of War: Carian Grandeur,1
141,Ash of War: Carian Greatsword,1
142,Ash of War: Vacuum Slice,1
143,Ash of War: Black Flame Tornado,1
144,Ash of War: Sacred Ring of Light,1
146,Ash of War: Shield Bash,1
147,Ash of War: Barricade Shield,1
148,Ash of War: Parry,1
149,Ash of War: Buckler Parry,1
151,Ash of War: Carian Retaliation,1
