Row ID,Row Name,Unk10
1000,Type 1,0
1100,Type 2,0
1200,Type 3,0
1300,Type 4,0
1400,Type 5,0
1500,Type 6,0
1600,Type 7,0
1700,Type 8,0
1800,Type 9,0
1900,Type 10,0
2000,Type 11,0
2100,Type 12,0
2200,Type 13,0
2300,Type 14,0
2400,Type 15,0
2500,Type 16,0
2600,Type 17,0
2700,Type 18,0
2800,Type 19,0
2900,Type 20,0
3000,Type 1,0
3100,Type 2,0
3200,Type 3,0
3300,Type 4,0
3400,Type 5,0
3500,Type 6,0
3600,Type 7,0
3700,Type 8,0
3800,Type 9,0
3900,Type 10,0
4000,Type 11,0
4100,Type 12,0
4200,Type 13,0
4300,Type 14,0
4400,Type 15,0
4500,Type 16,0
4600,Type 17,0
4700,Type 18,0
4800,Type 19,0
4900,Type 20,0
5000,Travel Hairstyle,0
10000,Head,0
10100,Body,100
10200,Arms,0
10300,Legs,0
40000,Iron Helmet,0
40100,Scale Armor,100
40200,Iron Gauntlets,0
40300,Leather Trousers,0
50000,Kaiden Helm,0
50100,Kaiden Armor,100
50200,Kaiden Gauntlets,0
50300,Kaiden Trousers,0
60000,Drake Knight Helm,0
60100,Drake Knight Armor,100
60200,Drake Knight Gauntlets,0
60300,Drake Knight Greaves,0
61000,Drake Knight Helm (Altered),0
61100,Drake Knight Armor (Altered),100
80000,Scaled Helm,0
80100,Scaled Armor,100
80200,Scaled Gauntlets,0
80300,Scaled Greaves,0
81100,Scaled Armor (Altered),100
90000,Perfumer Hood,0
90100,Perfumer Robe,100
90200,Perfumer Gloves,0
90300,Perfumer Sarong,0
91100,Perfumer Robe (Altered),100
100000,Traveler's Hat,0
100100,Perfumer's Traveling Garb,100
100200,Traveler's Gloves,0
100300,Traveler's Slops,0
101100,Perfumer's Traveling Garb (Altered),100
120000,Alberich's Pointed Hat,0
120100,Alberich's Robe,100
120200,Alberich's Bracers,0
120300,Alberich's Trousers,0
121000,Alberich's Pointed Hat (Altered),0
121100,Alberich's Robe (Altered),100
130000,Spellblade's Pointed Hat,0
130100,Spellblade's Traveling Attire,100
130200,Spellblade's Gloves,0
130300,Spellblade's Trousers,0
131100,Spellblade's Traveling Attire (Altered),100
140000,Bull-Goat Helm,0
140100,Bull-Goat Armor,100
140200,Bull-Goat Gauntlets,0
140300,Bull-Goat Greaves,0
150000,Iron Kasa,0
150100,Ronin's Armor,100
150200,Ronin's Gauntlets,0
150300,Ronin's Greaves,0
151100,Ronin's Armor (Altered),100
160000,Guilty Hood,0
160100,Cloth Garb,100
160300,Cloth Trousers,0
170000,Black Wolf Mask,0
170100,Blaidd's Armor,100
170200,Blaidd's Gauntlets,0
170300,Blaidd's Greaves,0
