Row ID,Row Name,Event Flag
1,,0
1000,,0
1001,,0
1002,,0
1003,,0
100000,[Gatekeeper Gostoc] Festering Bloody Finger,100000
100002,[Gatekeeper Gostoc] Ruin Fragment,100020
100004,[Gatekeeper Gostoc] Buckler,100040
100009,[Gatekeeper Gostoc] Furlcalling Finger Remedy,100090
100010,[Gatekeeper Gostoc] Silver-Pickled Fowl Foot,100100
100011,[Gatekeeper Gostoc] Stormhawk Feather,100110
100012,[Gatekeeper Gostoc] Caestus,100120
100013,[Gatekeeper Gostoc] Great Arrow,100130
100014,[Gatekeeper Gostoc] Ballista Bolt,100140
100015,[Gatekeeper Gostoc] Bandit Manchettes,100150
100016,[Gatekeeper Gostoc] Bandit Boots,100160
100017,[Gatekeeper Gostoc] Bandit Garb,100170
100025,Memory Stone,100250
100025,Memory Stone,100250
100026,Stonesword Key,100260
100026,Stonesword Key,100260
100050,[Sorceress Sellen] Glintstone Pebble,100500
100051,[Sorceress Sellen] Scholar's Armament,100510
100052,[Sorceress Sellen] Scholar's Shield,100520
100053,[Sorceress Sellen] Crystal Barrage,100530
100054,[Sorceress Sellen] Glintstone Arc,100540
100055,[Sorceress Sellen] Glintstone Stars,100550
100056,[Sorceress Sellen - Quest] Shard Spiral,100560
100057,[Sorceress Sellen - Conspectus Scroll] Glintstone Cometshard,100570
100058,[Sorceress Sellen - Conspectus Scroll] Star Shower,100580
100059,[Sorceress Sellen - Academy Scroll] Great Glintstone Shard,100590
100060,[Sorceress Sellen - Academy Scroll] Swift Glintstone Shard,100600
100061,[Sorceress Sellen] Glintblade Phalanx,100610
100062,[Sorceress Sellen] Carian Slicer,100620
100075,[Knight Bernahl] Ash of War: Impaling Thrust,100750
100076,[Knight Bernahl] Ash of War: Spinning Slash,100760
100077,[Knight Bernahl] Ash of War: Quickstep,100770
100078,[Knight Bernahl] Ash of War: Stamp (Upward Cut),100780
100079,[Knight Bernahl] Ash of War: Kick,100790
100080,[Knight Bernahl] Ash of War: War Cry,100800
100081,[Knight Bernahl] Ash of War: Endure,100810
100082,[Knight Bernahl] Ash of War: Parry,100820
100083,[Knight Bernahl] Ash of War: Storm Blade,100830
100084,[Knight Bernahl] Ash of War: Eruption,100840
100085,[Knight Bernahl] Ash of War: Assassin's Gambit,100850
100086,[Knight Bernahl] Ash of War: No Skill,100860
100100,[Patches] Margit's Shackle,110000
100101,[Patches] Missionary's Cookbook [2],67600
100102,[Patches] Stonesword Key,110020
100103,[Patches] Furlcalling Finger Remedy,110030
100104,[Patches] Glass Shard,110040
100105,[Patches] Gold-Pickled Fowl Foot,110050
100108,[Patches] Parrying Dagger,110080
100111,[Patches] Sacrificial Twig,110110
100112,[Patches] Festering Bloody Finger,110120
100113,[Patches] Grace Mimic,110130
100114,[Patches] Fan Daggers,110140
100115,[Patches] Great Arrow,110150
100116,[Patches] Ballista Bolt,110160
100117,[Patches] Festering Bloody Finger,110170
100118,[Patches] Fan Daggers,110180
100119,[Patches] Estoc,110190
100120,[Patches] Great Arrow,110200
100121,[Patches] Ballista Bolt,110210
100122,[Patches] Horse Crest Wooden Shield,110220
100126,[D, Hunter of The Dead] Litany of Proper Death,110260
100127,[D, Hunter of The Dead] Order's Blade,110270
100150,[Blackguard Big Boggart] Rya's Necklace,400300
100155,[Blackguard Big Boggart] Boiled Crab,110550
100160,[Blackguard Big Boggart] Boiled Prawn,110600
100175,[Gowry] Night Shard,110750
100176,[Gowry] Night Maiden's Mist,110760
100177,[Gowry] Glintstone Stars,110770
100185,[Gowry] Pest Threads,110850
100200,[Sorcerer Rogier] Ash of War: Spinning Weapon,120000
100201,[Sorcerer Rogier] Ash of War: Glintstone Pebble,120010
100202,[Sorcerer Rogier] Ash of War: Carian Greatsword,120020
100225,[Sorcerer Rogier] Somber Smithing Stone [1],120250
100226,[Sorcerer Rogier] Somber Smithing Stone [2],120260
100227,[Sorcerer Rogier] Somber Smithing Stone [3],120270
100228,[Sorcerer Rogier] Somber Smithing Stone [4],120280
100229,[Sorcerer Rogier] Carian Filigreed Crest,120290
