Row ID,Row Name,Effect Category
0,,0
1,,10
2,,0
3,,0
4,Tarnished's Furled Finger - Create Summon Sign,0
5,,0
6,,0
7,Finger Severer - Return to World,0
8,,0
9,,0
10,Duelist's Furled Finger - Create Invasion Sign,0
11,Bloody Finger - Attempt Invasion,0
12,,0
13,,0
14,,0
15,,0
16,Festering/Recusant Finger - Attempt Invasion,0
17,,0
18,,0
20,,0
21,,0
22,,100
23,,100
24,,0
25,,0
26,,0
27,,0
28,,0
29,,0
30,,0
31,[Behavior] Counter Frames,0
32,,0
33,,0
35,,0
36,,0
37,,0
38,,0
39,,0
40,,1001
41,,1001
46,,0
50,,20
51,,20
52,,20
53,,20
54,,20
55,,20
60,,20
70,Blight Effect,0
71,,0
72,,0
73,,0
74,,0
79,,0
80,,20
81,Spectral Steed Whistle,0
84,,20
86,,0
87,,0
88,,0
89,,0
90,,0
91,,0
92,,0
93,,0
94,,0
95,,0
96,,0
97,,0
98,,0
99,,0
100,Grace - Restore HP,0
101,Grace - Remove All Status,0
102,Grace - Remove Hemorrhage,0
103,Grace - Remove Poison,0
104,Grace - Remove Scarlet Rot,0
105,Grace - Remove Frostbite,0
106,Grace -,0
107,Grace - Remove Madness,0
108,Grace - Remove Sleep,0
109,Grace - Remove Blight,0
110,,0
111,,0
112,,10003
113,,10004
114,,10005
115,,0
116,,0
117,,0
118,,0
119,,0
120,,0
125,Torrent,10
126,Torrent,10
127,,0
128,,0
129,,0
130,,1001
131,,0
132,,0
133,,0
134,,0
135,,0
136,,0
137,,0
138,,0
140,,0
141,,0
142,,0
143,,0
144,,0
145,,0
146,,0
147,,0
150,,0
151,,0
152,,0
160,,158
161,,158
170,,0
171,,0
172,,0
173,,0
174,,0
175,,0
176,,0
180,,0
181,,0
182,,0
183,,20
184,,20
185,,20
186,,20
190,,200
191,,200
200,,0
201,,0
202,,0
210,,100
211,,100
212,,100
220,,100
290,,0
300,,0
301,,0
302,,0
303,,0
304,,0
305,,0
306,,0
307,,0
308,,0
309,,0
310,,0
311,,0
312,,0
313,,0
314,,0
315,,0
316,,0
317,,0
318,,0
319,,0
350,,0
351,,0
352,,0
360,,0
361,,0
362,,0
370,,0
371,,0
372,,0
373,,0
380,,0
381,,0
382,,0
390,,0
391,,0
392,,0
401,,0
402,,0
403,,0
404,,0
407,,0
412,,0
415,Torch Effect,0
416,Sentry's Torch - Effect,0
417,,20
420,Oil Pot,1004
425,Slug - Bullet,20
430,,0
435,,20
436,,20
437,,20
438,,20
440,,200
441,,0
442,,200
445,,0
450,,0
451,,0
455,,0
460,Beast-Repellent Torch Effect,0
461,,0
462,,0
463,,0
467,Swarm Pot [Cycle],100
468,,20
469,,0
470,Gravity - Pull towards Caster,0
471,,0
472,,0
473,Swarm Pot,0
474,Heal - HP Regen,0
475,Blessing of the Erdtree - HP Regen,0
480,,0
481,Shadow Bait,0
482,Alluring Pot,0
483,Alluring Pot,0
484,Beastlure Pot Effect,0
485,,0
486,,0
487,,0
490,Rune Arc,0
491,Rune Arc,0
499,Rune Arc,0
500,Hemorrhage [Cycle],0
501,Hemorrhage - Presence of Blood,0
505,Poison/Scarlet Rot [Cycle],0
506,Poison/Scarlet Rot - Presence of Rot,0
510,,0
511,,0
512,,0
513,,0
514,,0
530,Furlcalling Finger Remedy - Reveal Phantom Signs,0
531,White Cipher Ring - Request Aid,0
532,Blue Cipher Ring - Answer Aid Request,0
533,Taunter's Tongue - Encourage Invasion,0
534,Small Golden Effigy - Send Summon Sign to Summoning Pool,0
535,Small Red Effigy - Send Invasion Sign to Summoning Pool,0
536,Phantom Bloody/Recusant Finger - Attempt Invasion,0
539,,0
540,,0
541,,0
542,,0
543,,0
544,,0
545,,0
546,,0
590,,0
591,,0
592,,0
600,,20
601,,0
602,,20
603,,20
604,,0
605,,0
606,,0
607,,0
608,,0
609,,0
610,,20
611,,0
612,,20
613,,20
614,,0
615,,0
616,,0
617,,0
618,,0
619,,0
620,,20
621,,0
622,,0
623,,0
624,,0
625,,0
626,,0
627,,0
628,,0
629,,0
630,,20
631,,0
632,,0
633,,0
634,,0
635,,0
636,,0
637,,0
638,,0
639,,0
640,,20
641,,0
642,,0
643,,0
644,,0
645,,0
646,,0
647,,0
648,,0
649,,20
650,,20
651,,20
652,,0
653,,0
654,,0
655,,0
656,,0
657,,0
658,,0
659,,0
790,,20
800,,20
801,,162
802,,20
803,,163
804,,20
805,,20
806,,162
807,,20
808,,20
809,,163
810,,20
811,,162
812,,20
813,,20
814,,163
820,,10000
821,,162
822,,10006
823,,163
825,,10000
826,,162
827,,10006
828,,163
829,,10007
830,,10000
831,,162
832,,10006
833,,163
834,,10004
835,,10
836,,162
837,,10006
838,,163
840,,20
841,,162
842,,20
843,,163
845,,20
846,,162
847,,20
848,,163
850,,0
855,,20
860,Gargoyle's Blackblade - Bullet,20
865,,20
870,Reduvia - Bullet,10003
875,,10007
1000,,0
1001,,0
1002,,0
1500,,0
1501,,0
1502,,10
1505,,0
1510,,20
1511,,162
1512,,20
1513,,163
1515,,0
1520,,162
1521,,20
1525,Erdtree Greatshield - Bullet,0
1526,,0
1530,,10007
1540,,20
1545,Winged Greathorn - Bullet,157
1550,,0
1555,,20
1560,,20
1565,,0
1570,,20
1575,,10007
1576,Royal Greatsword - Bullet,10007
1580,,162
1585,,10000
1586,,20
1587,,10006
1588,,20
1589,,10006
1590,,0
1591,,0
1595,,0
1600,,20
1601,,0
1605,,0
1606,,20
1607,,162
1608,,20
1609,,163
1610,,10
1611,,0
1612,,0
1615,,10003
1616,,10003
1617,,20
1618,,0
1619,,20
1620,,0
1621,,0
1622,,10004
1623,,0
1624,,0
1625,Mohgwyn's Sacred Spear - Bullet,10003
1626,,20
1627,,162
1628,,20
1629,,163
1630,,0
1631,,10
1632,,10
1635,,0
1636,,10
1640,,20
1641,,20
1645,,20
1646,,0
1647,,20
1648,,0
1650,,20
1651,,20
1655,,20
1656,,20
1660,,162
1661,,162
1662,,162
1665,,20
1666,,163
1667,,20
1670,,0
1671,,0
1675,,20
1676,,162
1677,,20
1678,,163
1680,,20
1681,,162
1682,,20
1683,,163
1685,,20
1686,,162
1687,,20
1688,,163
1690,,20
1691,,162
1692,,20
1693,,163
1694,,0
1695,,20
1696,,162
1697,,20
1698,,163
1699,,0
1700,,20
1701,,162
1702,,20
1703,,163
1704,,0
1705,,20
1706,,162
1707,,20
1708,,163
1709,,0
1710,,0
1715,,10000
1716,,162
1717,,10006
1718,,163
1720,,20
1721,,162
1722,,20
1723,,163
1724,,10007
1725,,20
1726,,162
1727,,20
1728,,163
1730,,160
1731,,20
1732,,152
1733,,20
1734,,0
1735,,151
1736,,160
1740,,0
1745,,10009
1750,,0
1751,,0
1753,,10003
1754,,10000
1755,,162
1756,,10003
1757,,10006
1758,,163
1759,,10003
1760,,0
1761,,10003
1763,,0
1765,,0
1766,,20
1767,,20
1768,Commander's Standard - Bullet,160
1769,Commander's Standard [Cycle],20
1770,Commander's Standard [Cycle],20
1771,,20
1772,,0
1773,,20
1774,,0
1775,,20
1776,,162
1777,,20
1778,,163
1780,,10010
1781,,10010
1782,,10010
1785,,10004
1789,Eclipse Shotel - Bullet,10008
1790,,20
1791,,162
1792,,20
1793,,163
1794,,10008
1795,,162
1800,,10007
1801,,10007
1805,,20
1806,,162
1807,,20
1808,,163
1809,,10007
1810,,20
1811,,162
1812,,20
1813,,163
1815,,20
1816,,162
1817,,20
1818,,163
1820,,20
1821,,162
1822,,20
1823,,163
1825,,20
1826,,162
1827,,20
1828,,163
1830,,0
1831,,0
1835,,152
1836,,160
1837,,151
1840,,20
1841,,162
1842,,20
1843,,163
1845,,20
1846,,162
1847,,20
1848,,163
1850,,20
1851,,1001
1852,,1001
1855,Sword of Milos - Bullet,157
1856,Sword of Milos - Bullet,157
1859,,1001
1860,,20
1861,,162
1862,,20
1863,,163
1864,,20
1865,,20
1866,,162
1867,,20
1868,,163
1869,,20
1870,,160
1871,,152
1872,,151
1875,,160
1880,,20
1881,,162
1882,,20
1883,,163
1884,,10009
1885,Sword of St. Trina - Bullet,10009
1890,,20
1891,,162
1892,,20
1893,,163
1894,,10007
1896,Devourer's Scepter - Bullet,10
1897,Scepter of the All-Knowing - Bullet,20
1898,,201
1899,,201
1900,,1001
1901,,10007
1902,,1001
1903,,201
1904,,201
1905,,201
1908,,0
1910,Carian Regal Scepter - Boost Damage,10
1911,Carian Glintstone Staff - Boost Damage,10
1912,Carian Glintblade Staff - Boost Damage,10
1913,Digger's Staff - Boost Damage,10
1914,Crystal Staff - Boost Damage,10
1915,,10
1916,,10
1917,Gelmir Glintstone Staff - Boost Damage,10
1918,Staff of the Guilty - Boost Damage,10
1919,Prince of Death's Staff - Boost Damage,10
1920,Meteorite Staff - Boost Damage,10
1921,Staff of Loss - Boost Damage,10
1922,Godslayer's Seal - Boost Damage,10
1923,Giant's Seal - Boost Damage,10
1924,Gravel Stone Seal - Boost Damage,10
1925,Clawmark Seal - Boost Damage,10
1926,Golden Order Seal - Boost Damage,10
1927,Dragon Communion Seal - Boost Damage,10
1928,Frenzied Flame Seal - Boost Damage,10
1929,,20
1930,,20
1931,,20
1932,,20
1933,Azur's Glintstone Staff - Effect,10
1934,Lusat's Glintstone Staff - Effect,10
1935,,0
1936,,0
1937,Lion Greatbow,10
1938,Serpent Bow,0
1939,Serpent Bow [Attack],10004
1940,Bow,10
1950,,0
1951,,0
1952,,0
1953,,0
1954,,0
1955,,0
1956,,0
1957,,0
1958,,0
1959,,0
3000,,0
3039,,20
3050,Stanching Boluses,0
3051,Stanching Boluses [Chain],0
3052,,0
3055,Stimulating Boluses,0
3056,Stimulating Boluses [Chain],0
3060,Neutralizing Boluses,0
3061,Neutralizing Boluses [Chain],0
3065,Clarifying Boluses,0
3066,Clarifying Boluses [Chain],0
3070,Preserving Boluses,0
3071,Preserving Boluses [Chain],0
3075,,0
3080,,0
3090,Rejuvenating Boluses,0
3091,Rejuvenating Boluses [Chain],0
3092,Thawfrost Boluses,0
3093,Thawfrost Boluses [Chain],0
3100,,0
3115,Kukri,10003
3120,Fetid Pot,10004
3121,,10004
3125,Swarm of Flies - Hemorrhage [Cycle],10003
3126,Swarm of Flies  - Hemorrhage,10003
3130,,0
3131,,0
3135,,0
3136,,0
3140,Freezing Grease,162
3141,Freezing Grease [Attack],10007
3142,Drawstring Freezing Grease,162
3143,Drawstring Freezing Grease [Attack],10007
3144,,163
3145,,10007
3146,,163
3147,,10007
3150,Soporific Grease,162
3151,Soporific Grease [Attack],10009
3152,Drawstring Soporific Grease,162
3153,Drawstring Soporific Grease [Attack],10009
3154,,163
3155,,10009
3156,,163
3157,,10009
3160,Fire Grease - Right,162
3161,Drawstring Fire Grease - Right,162
3162,Fire Grease - Left,163
3163,Drawstring Fire Grease - Left,163
3165,Lightning Grease - Right,162
3166,Drawstring Lightning Grease - Right,162
3167,Lightning Grease - Left,163
3168,Drawstring Lightning Grease - Left,163
3170,Magic Grease - Right,162
3171,Drawstring Magic Grease - Right,162
3172,Magic Grease - Left,163
3173,Drawstring Magic Grease - Left,163
3175,Poison Grease - Right,162
3176,Poison Grease - Right [Attack],10004
3177,Drawstring Poison Grease - Right,162
3178,Drawstring Poison Grease - Right [Attack],10004
3179,Poison Grease - Left,163
3180,Poison Grease - Left [Attack],10004
3181,Drawstring Poison Grease - Left,163
3182,Drawstring Poison Grease - Left [Attack],10004
3185,Holy Grease - Right,162
3186,Drawstring Holy Grease - Right,162
3187,Holy Grease - Left,163
3188,Drawstring Holy Grease - Left,163
3190,Blood Grease - Right,162
3191,Blood Grease - Right [Attack],10003
3192,Drawstring Blood Grease - Right,162
3193,Drawstring Blood Grease - Right [Attack],10003
3194,Blood Grease - Left,163
3195,Blood Grease - Left [Attack],10003
3196,Drawstring Blood Grease - Left,163
3197,Drawstring Blood Grease - Left [Attack],10003
3200,Holy Water Pot,10
3210,,10001
3220,,0
3221,,0
3222,,0
3223,,0
3224,,0
3225,,0
3226,,0
3230,,0
3231,,0
3240,Telescope,0
3245,Lantern - Right,201
3246,Lantern - Left,201
3250,,0
3260,Dragonwound Grease - Right,162
3262,Dragonwound Grease - Left,163
3269,Golden Rune [1],0
3270,Golden Rune [2],0
3271,Golden Rune [3],0
3272,Golden Rune [4],0
3273,Golden Rune [5],0
3274,Golden Rune [6],0
3275,Golden Rune [7],0
3276,Golden Rune [8],0
3277,Golden Rune [9],0
3278,Golden Rune [10],0
3279,Golden Rune [11],0
3280,Golden Rune [12],0
3281,Golden Rune [13],0
3282,Numen's Rune,0
3283,Hero's Rune [1],0
3284,Hero's Rune [2],0
3285,Hero's Rune [3],0
3286,Hero's Rune [4],0
3287,Hero's Rune [5],0
3288,Lord's Rune,0
3300,,10007
3307,,10004
3308,,10005
3309,,10007
3310,Rot Grease - Right,162
3311,Rot Grease - Right [Attack],10005
3312,Drawstring Rot Grease - Right,162
3313,Drawstring Rot Grease - Right [Attack],10005
3314,Rot Grease - Left,163
3315,Rot Grease - Left [Attack],10005
3316,Drawstring Rot Grease - Left,163
3317,Drawstring Rot Grease - Left [Attack],10005
3330,,0
3340,,0
3360,Warming Stone,20
3365,,20
3370,,10004
3375,Holy Water Grease - Right,162
3376,Holy Water Grease - Left,163
3380,Cursed-Blood Pot,20
3381,Cursed-Blood Pot,20
3382,Cursed-Blood Pot,20
3383,Cursed-Blood Pot,20
3450,Rune Arc,20
3500,Crimsonspill Crystal Tear,20
3501,Greenspill Crystal Tear,20
3505,Crimson Crystal Tear,0
3506,Cerulean Crystal Tear,0
3507,Opaline Bubbletear,20
3508,,0
3512,Crimson Bubbletear,20
3513,Crimson Bubbletear [Chain],0
3515,Strength-knot Crystal Tear,20
3516,Dexterity-knot Crystal Tear,20
3517,Intelligence-knot Crystal Tear,20
3518,Faith-knot Crystal Tear,20
3519,Leaden Hardtear,1001
3530,,0
3531,,0
3550,Thorny Cracked Tear,0
3551,Thorny Cracked Tear [Cycle],0
3552,Thorny Cracked Tear [Cycle],0
3553,Thorny Cracked Tear [Cycle],0
3554,Thorny Cracked Tear [Chain],20
3555,Thorny Cracked Tear [Chain],20
3556,Thorny Cracked Tear [Chain],20
3557,Thorny Cracked Tear [Chain],20
3558,,120
3559,,120
3560,,120
3561,,20
3580,Crimsonwhorl Bubbletear,20
3581,Crimsonwhorl Bubbletear [Chain],100
3582,Crimsonwhorl Bubbletear [Chain],100
3583,Crimsonwhorl Bubbletear [Cycle],100
3584,Crimsonwhorl Bubbletear [Chain],100
3600,Lucent Baldachin's Blessing,0
3601,,20
3602,,1001
3603,Speckled Hardtear,0
3604,Speckled Hardtear [Cycle],20
3605,Speckled Hardtear [Chain],0
3606,Speckled Hardtear [Chain],0
3607,Speckled Hardtear [Chain],0
3608,Speckled Hardtear [Chain],0
3609,Speckled Hardtear [Chain],0
3610,Speckled Hardtear [Chain],0
3611,Speckled Hardtear [Chain],0
3612,Speckled Hardtear [Cycle],0
3613,Speckled Hardtear [Cycle],0
3614,Speckled Hardtear [Cycle],0
3615,Speckled Hardtear [Cycle],0
3616,Speckled Hardtear [Cycle],0
3617,Speckled Hardtear [Cycle],0
3618,Speckled Hardtear [Cycle],0
3650,,0
3700,,20
3710,,20
3720,Remembrance of the Grafted,0
3721,Remembrance of the Starscourge,0
3722,Remembrance of the Omen King,0
3723,Remembrance of the Blasphemous,0
3724,Remembrance of the Rot Goddess,0
3725,Remembrance of the Blood Lord,0
3726,Remembrance of the Black Blade,0
3727,Remembrance of Hoarah Loux,0
3728,Remembrance of the Dragonlord,0
3729,Remembrance of the Full Moon Queen,0
3730,Remembrance of the Lichdragon,0
3731,Remembrance of the Fire Giant,0
3732,Remembrance of the Regal Ancestor,0
3733,Elden Remembrance,0
3734,Remembrance of the Naturalborn,0
3750,,10004
3751,,10003
3810,,151
3910,Spellproof Dried Liver,151
3920,Fireproof Dried Liver,151
3930,Lightningproof Dried Liver,151
3940,Holyproof Dried Liver,151
3950,Exalted Flesh,151
3953,Pickled Turtle Neck,20
3960,Immunizing Cured Meat,151
3961,Invigorating Cured Meat,151
3962,Clarifying Cured Meat,151
3963,Dappled Cured Meat,151
3970,Silver-Pickled Fowl Foot,20
3971,Gold-Pickled Fowl Foot,20
4001,,20
4002,,10004
4003,,20
4004,,10004
4010,,20
4011,,0
4012,,0
4013,,0
4014,,0
4020,,20
4021,,0
4022,,0
4023,,0
4024,,0
4040,,1002
4050,,20
4051,,10005
4052,,20
4053,,10005
4054,,20
4055,,10005
4080,,0
4085,,10001
4090,,200
4091,,200
4100,,0
4101,Sanguine Noble,20
4150,,0
4170,,200
4171,,200
4190,,20
4191,,20
4192,,20
4195,,20
4196,,20
4200,,0
4201,,10
4202,,0
4205,,0
4210,,0
4211,,0
4212,,0
4213,,0
4230,,0
4250,,0
4260,,0
4270,,0
4271,,0
4272,,0
4280,,200
4281,,200
4282,,200
4283,,200
4286,,200
4287,,200
4290,,200
4291,,200
4300,,0
4301,,0
4302,,0
4305,,0
4306,,0
4307,,0
4308,,0
4310,,0
4311,,0
4312,,0
4313,,0
4315,,0
4320,,0
4321,,0
4330,,0
4340,,0
4350,,0
4360,,0
