Row ID;Row Name;Unk2
1000;Crimson Amber Medallion;10
1001;Crimson Amber Medallion +1;10
1002;Crimson Amber Medallion +2;10
1010;Cerulean Amber Medallion;10
1011;Cerulean Amber Medallion +1;10
1012;Cerulean Amber Medallion +2;10
1020;Viridian Amber Medallion;10
1021;Viridian Amber Medallion +1;10
1022;Viridian Amber Medallion +2;10
1030;Arsenal Charm;10
1031;Arsenal Charm +1;10
1032;Great-Jar's Arsenal;10
1040;Erdtree's Favor;10
1041;Erdtree's Favor +1;10
1042;Erdtree's Favor +2;10
1050;Radagon's Scarseal;10
1051;Radagon's Soreseal;10
1060;Starscourge Heirloom;10
1070;Prosthesis-Wearer Heirloom;10
1080;Stargazer Heirloom;10
1090;Two Fingers Heirloom;10
1100;Silver Scarab;70
1110;Gold Scarab;70
1140;Moon of Nokstella;40
1150;Green Turtle Talisman;10
1160;Stalwart Horn Charm;20
1161;Stalwart Horn Charm +1;20
1170;Immunizing Horn Charm;20
1171;Immunizing Horn Charm +1;20
1180;Clarifying Horn Charm;20
1181;Clarifying Horn Charm +1;20
1190;Prince of Death's Pustule;20
1191;Prince of Death's Cyst;20
1200;Mottled Necklace;20
1201;Mottled Necklace +1;20
1210;Bull-Goat's Talisman;60
1220;Marika's Scarseal;10
1221;Marika's Soreseal;10
1230;Warrior Jar Shard;50
1231;Shard of Alexander;50
1250;Millicent's Prosthesis;70
2000;Magic Scorpion Charm;60
2010;Lightning Scorpion Charm;60
2020;Fire Scorpion Charm;60
2030;Sacred Scorpion Charm;60
2040;Red-Feathered Branchsword;70
2050;Ritual Sword Talisman;70
2060;Spear Talisman;30
2070;Hammer Talisman;30
2080;Winged Sword Insignia;70
2081;Rotten Winged Sword Insignia;70
2090;Dagger Talisman;30
2100;Arrow's Reach Talisman;30
2110;Blue Dancer Charm;60
2120;Twinblade Talisman;30
2130;Axe Talisman;30
2140;Lance Talisman;30
2150;Arrow's Sting Talisman;30
2160;Lord of Blood's Exultation;70
2170;Kindred of Rot's Exultation;70
2180;Claw Talisman;30
2190;Roar Medallion;50
2200;Curved Sword Talisman;30
2210;Companion Jar;50
2220;Perfumer's Talisman;50
3000;Graven-School Talisman;40
3001;Graven-Mass Talisman;40
3040;Faithful's Canvas Talisman;40
3050;Flock's Canvas Talisman;40
3060;Old Lord's Talisman;40
3070;Radagon Icon;40
3080;Primal Glintstone Blade;40
3090;Godfrey Icon;50
4000;Dragoncrest Shield Talisman;20
4001;Dragoncrest Shield Talisman +1;20
4002;Dragoncrest Shield Talisman +2;20
4003;Dragoncrest Greatshield Talisman;20
4010;Spelldrake Talisman;20
4011;Spelldrake Talisman +1;20
4012;Spelldrake Talisman +2;20
4020;Flamedrake Talisman;20
4021;Flamedrake Talisman +1;20
4022;Flamedrake Talisman +2;20
4030;Boltdrake Talisman;20
4031;Boltdrake Talisman +1;20
4032;Boltdrake Talisman +2;20
4040;Haligdrake Talisman;20
4041;Haligdrake Talisman +1;20
4042;Haligdrake Talisman +2;20
4050;Pearldrake Talisman;20
4051;Pearldrake Talisman +1;20
4052;Pearldrake Talisman +2;20
4060;Crucible Scale Talisman;60
4070;Crucible Feather Talisman;60
4080;Blue-Feathered Branchsword;70
4090;Ritual Shield Talisman;70
4100;Greatshield Talisman;30
4110;Crucible Knot Talisman;60
5000;Crimson Seed Talisman;10
5010;Cerulean Seed Talisman;10
5020;Blessed Dew Talisman;10
5030;Taker's Cameo;70
5040;Godskin Swaddling Cloth;70
5050;Assassin's Crimson Dagger;70
5060;Assassin's Cerulean Dagger;70
6000;Crepus's Vial;80
6010;Concealing Veil;80
6020;Carian Filigreed Crest;50
6040;Longtail Cat Talisman;80
6050;Shabriri's Woe;80
6060;Daedicar's Woe;80
6070;Sacrificial Twig;80
6080;Furled Finger's Trick-Mirror;80
6090;Host's Trick-Mirror;80
6100;Entwining Umbilical Cord;255
6110;Ancestral Spirit's Horn;70
9000;Voidbane Talisman;70
9010;Deathbane Talisman;70
9020;Dragonbane Talisman;70
9030;Godskin Ward;20
9040;Marika's Golden Sigil;20
9050;;20
999999999;;255
