Row ID;Row Name;Item Chance 1
300000000;[Castle Exile] Soldier's Crossbow;900
300000001;[Castle Exile] Exile Hood;900
300000002;[Castle Exile] Exile Armor;900
300000003;[Castle Exile] Exile Gauntlets;900
300000004;[Castle Exile] Exile Greaves;900
300000006;[Castle Exile] Bolt;900
300000100;[Castle Exile] Exile Hood;900
300000101;[Castle Exile] Exile Armor;900
300000102;[Castle Exile] Exile Gauntlets;900
300000103;[Castle Exile] Exile Greaves;900
300000105;[Castle Exile] Bolt;900
300000200;[Castle Exile] Exile Hood;900
300000201;[Castle Exile] Exile Armor;900
300000202;[Castle Exile] Exile Gauntlets;900
300000203;[Castle Exile] Exile Greaves;900
300000300;[Castle Exile] Exile Hood;900
300000301;[Castle Exile] Exile Armor;900
300000302;[Castle Exile] Exile Gauntlets;900
300000303;[Castle Exile] Exile Greaves;900
300000400;[Castle Exile] Exile Hood;900
300000401;[Castle Exile] Exile Armor;900
300000402;[Castle Exile] Exile Gauntlets;900
300000403;[Castle Exile] Exile Greaves;900
300000500;[Castle Exile] Exile Hood;900
300000501;[Castle Exile] Exile Armor;900
300000502;[Castle Exile] Exile Gauntlets;900
300000503;[Castle Exile] Exile Greaves;900
300000600;[Castle Exile] Spear;900
300000601;[Castle Exile] Exile Hood;900
300000602;[Castle Exile] Exile Armor;900
300000603;[Castle Exile] Exile Gauntlets;900
300000604;[Castle Exile] Exile Greaves;900
300000700;[Castle Exile] Torchpole;900
300000701;[Castle Exile] Exile Hood;900
300000702;[Castle Exile] Exile Armor;900
300000703;[Castle Exile] Exile Gauntlets;900
300000704;[Castle Exile] Exile Greaves;900
300000800;[Castle Exile] Torchpole;900
300000801;[Castle Exile] Exile Hood;900
300000802;[Castle Exile] Exile Armor;900
300000803;[Castle Exile] Exile Gauntlets;900
300000804;[Castle Exile] Exile Greaves;900
300014000;[Castle Exile] Soldier's Crossbow;900
300014001;[Castle Exile] Exile Hood;900
300014002;[Castle Exile] Exile Armor;900
300014003;[Castle Exile] Exile Gauntlets;900
300014004;[Castle Exile] Exile Greaves;900
300014006;[Castle Exile] Bolt;900
300014007;[Castle Exile] Lordsworn's Bolt;900
300014100;[Castle Exile] Exile Hood;900
300014101;[Castle Exile] Exile Armor;900
300014102;[Castle Exile] Exile Gauntlets;900
300014103;[Castle Exile] Exile Greaves;900
300014105;[Castle Exile] Bolt;900
300014106;[Castle Exile] Lordsworn's Bolt;900
300014200;[Castle Exile] Exile Hood;900
300014201;[Castle Exile] Exile Armor;900
300014202;[Castle Exile] Exile Gauntlets;900
300014203;[Castle Exile] Exile Greaves;900
300014300;[Castle Exile] Exile Hood;900
300014301;[Castle Exile] Exile Armor;900
300014302;[Castle Exile] Exile Gauntlets;900
300014303;[Castle Exile] Exile Greaves;900
300014400;[Castle Exile] Exile Hood;900
300014401;[Castle Exile] Exile Armor;900
300014402;[Castle Exile] Exile Gauntlets;900
300014403;[Castle Exile] Exile Greaves;900
300014500;[Castle Exile] Exile Hood;900
300014501;[Castle Exile] Exile Armor;900
300014502;[Castle Exile] Exile Gauntlets;900
300014503;[Castle Exile] Exile Greaves;900
300014600;[Castle Exile] Spear;900
300014601;[Castle Exile] Exile Hood;900
300014602;[Castle Exile] Exile Armor;900
300014603;[Castle Exile] Exile Gauntlets;900
300014604;[Castle Exile] Exile Greaves;900
300014700;[Castle Exile] Torchpole;900
300014701;[Castle Exile] Exile Hood;900
300014702;[Castle Exile] Exile Armor;900
300014703;[Castle Exile] Exile Gauntlets;900
300014704;[Castle Exile] Exile Greaves;900
300014800;[Castle Exile] Torchpole;900
300014801;[Castle Exile] Exile Hood;900
300014802;[Castle Exile] Exile Armor;900
300014803;[Castle Exile] Exile Gauntlets;900
300014804;[Castle Exile] Exile Greaves;900
300051000;[Castle Exile] Soldier's Crossbow;900
300051001;[Castle Exile] Exile Hood;900
300051002;[Castle Exile] Exile Armor;900
300051003;[Castle Exile] Exile Gauntlets;900
300051004;[Castle Exile] Exile Greaves;900
300051006;[Castle Exile] Bolt;900
300051007;[Castle Exile] Lordsworn's Bolt;900
300051100;[Castle Exile] Exile Hood;900
300051101;[Castle Exile] Exile Armor;900
300051102;[Castle Exile] Exile Gauntlets;900
300051103;[Castle Exile] Exile Greaves;900
300051105;[Castle Exile] Bolt;900
300051106;[Castle Exile] Lordsworn's Bolt;900
300051200;[Castle Exile] Exile Hood;900
300051201;[Castle Exile] Exile Armor;900
300051202;[Castle Exile] Exile Gauntlets;900
300051203;[Castle Exile] Exile Greaves;900
300051300;[Castle Exile] Exile Hood;900
300051301;[Castle Exile] Exile Armor;900
300051302;[Castle Exile] Exile Gauntlets;900
300051303;[Castle Exile] Exile Greaves;900
300051400;[Castle Exile] Exile Hood;900
300051401;[Castle Exile] Exile Armor;900
300051402;[Castle Exile] Exile Gauntlets;900
300051403;[Castle Exile] Exile Greaves;900
300051500;[Castle Exile] Exile Hood;900
300051501;[Castle Exile] Exile Armor;900
300051502;[Castle Exile] Exile Gauntlets;900
300051503;[Castle Exile] Exile Greaves;900
300051600;[Castle Exile] Spear;900
300051601;[Castle Exile] Exile Hood;900
300051602;[Castle Exile] Exile Armor;900
300051603;[Castle Exile] Exile Gauntlets;900
300051604;[Castle Exile] Exile Greaves;900
300051700;[Castle Exile] Torchpole;900
300051701;[Castle Exile] Exile Hood;900
300051702;[Castle Exile] Exile Armor;900
300051703;[Castle Exile] Exile Gauntlets;900
300051704;[Castle Exile] Exile Greaves;900
300051800;[Castle Exile] Torchpole;900
300051801;[Castle Exile] Exile Hood;900
300051802;[Castle Exile] Exile Armor;900
300051803;[Castle Exile] Exile Gauntlets;900
300051804;[Castle Exile] Exile Greaves;900
301000000;[Banished Knight] Banished Knight's Greatsword;900
301000001;[Banished Knight] Banished Knight's Shield;900
301000002;[Banished Knight] Banished Knight Helm (Altered);900
301000003;[Banished Knight] Banished Knight Armor (Altered);900
301000004;[Banished Knight] Banished Knight Gauntlets;900
301000005;[Banished Knight] Banished Knight Greaves;900
301000100;[Banished Knight] Banished Knight's Greatsword;900
301000101;[Banished Knight] Banished Knight's Shield;900
301000102;[Banished Knight] Banished Knight Helm;900
301000103;[Banished Knight] Banished Knight Armor (Altered);900
301000104;[Banished Knight] Banished Knight Gauntlets;900
301000105;[Banished Knight] Banished Knight Greaves;900
301000200;[Banished Knight] Banished Knight's Greatsword;900
301000201;[Banished Knight] Banished Knight's Shield;900
301000202;[Banished Knight] Banished Knight Helm (Altered);900
301000203;[Banished Knight] Banished Knight Armor;900
301000204;[Banished Knight] Banished Knight Gauntlets;900
301000205;[Banished Knight] Banished Knight Greaves;900
301000300;[Banished Knight] Banished Knight's Greatsword;900
301000301;[Banished Knight] Banished Knight Helm (Altered);900
301000302;[Banished Knight] Banished Knight Armor (Altered);900
301000303;[Banished Knight] Banished Knight Gauntlets;900
301000304;[Banished Knight] Banished Knight Greaves;900
301000305;[Banished Knight] Banished Knight's Greatsword;900
301000400;[Banished Knight] Banished Knight's Greatsword;900
301000401;[Banished Knight] Banished Knight Helm;900
301000402;[Banished Knight] Banished Knight Armor (Altered);900
301000403;[Banished Knight] Banished Knight Gauntlets;900
301000404;[Banished Knight] Banished Knight Greaves;900
301000405;[Banished Knight] Banished Knight's Greatsword;900
301000500;[Banished Knight] Banished Knight's Greatsword;900
301000501;[Banished Knight] Banished Knight Helm (Altered);900
301000502;[Banished Knight] Banished Knight Armor;900
301000503;[Banished Knight] Banished Knight Gauntlets;900
301000504;[Banished Knight] Banished Knight Greaves;900
301000505;[Banished Knight] Banished Knight's Greatsword;900
301000600;[Banished Knight] Banished Knight's Halberd;900
301000601;[Banished Knight] Banished Knight Helm (Altered);900
301000602;[Banished Knight] Banished Knight Armor (Altered);900
301000603;[Banished Knight] Banished Knight Gauntlets;900
301000604;[Banished Knight] Banished Knight Greaves;900
301000700;[Banished Knight] Banished Knight's Halberd;900
301000701;[Banished Knight] Banished Knight Helm;900
301000702;[Banished Knight] Banished Knight Armor (Altered);900
301000703;[Banished Knight] Banished Knight Gauntlets;900
301000704;[Banished Knight] Banished Knight Greaves;900
301000800;[Banished Knight] Banished Knight's Halberd;900
301000801;[Banished Knight] Banished Knight Helm (Altered);900
301000802;[Banished Knight] Banished Knight Armor;900
301000803;[Banished Knight] Banished Knight Gauntlets;900
301000804;[Banished Knight] Banished Knight Greaves;900
302000000;[Large Castle Exile] Crescent Moon Axe;900
302014000;[Large Castle Exile] Crescent Moon Axe;900
302051000;[Large Castle Exile] Crescent Moon Axe;900
306000000;[Undead Mariner] Executioner's Greataxe;900
306000100;[Undead Mariner] Glaive;900
307000000;[Dominula Celebrant] Celebrant's Cleaver;900
307000001;[Dominula Celebrant] Festive Garb (Altered);900
307000002;[Dominula Celebrant] Human Bone Shard;900
307000100;[Dominula Celebrant] Festive Hood;900
307000101;[Dominula Celebrant] Festive Garb (Altered);900
307000102;[Dominula Celebrant] Human Bone Shard;900
307000200;[Dominula Celebrant] Celebrant's Sickle;900
307000201;[Dominula Celebrant] Blue Festive Hood;900
307000202;[Dominula Celebrant] Blue Festive Garb;900
307000203;[Dominula Celebrant] Human Bone Shard;900
307000300;[Dominula Celebrant] Festive Hood;900
307000301;[Dominula Celebrant] Festive Garb;900
307000302;[Dominula Celebrant] Human Bone Shard;900
307000400;[Dominula Celebrant] Celebrant's Rib-Rake;900
307000401;[Dominula Celebrant] Festive Garb;900
307000402;[Dominula Celebrant] Human Bone Shard;900
308000000;[Imp] Forked Hatchet;900
308000001;[Imp] Imp Head (Cat);900
308000010;[Imp] Forked Hatchet;900
308000011;[Imp] Imp Head (Cat);900
308000020;[Imp] Forked Hatchet;900
308000021;[Imp] Imp Head (Cat);900
308000030;[Imp] Forked Hatchet;900
308000031;[Imp] Imp Head (Cat);900
308000040;[Imp] Forked Hatchet;900
308000041;[Imp] Imp Head (Cat);900
308000050;[Imp] Forked Hatchet;900
308000051;[Imp] Imp Head (Cat);900
308000100;[Imp] Forked Hatchet;900
308000101;[Imp] Imp Head (Fanged);900
308000110;[Imp] Forked Hatchet;900
308000111;[Imp] Imp Head (Fanged);900
308000113;[Imp] Smoldering Butterfly;900
308000114;[Imp] Mushroom;900
308000120;[Imp] Forked Hatchet;900
308000121;[Imp] Imp Head (Fanged);900
308000124;[Imp] Smoldering Butterfly;900
308000125;[Imp] Mushroom;900
308000130;[Imp] Forked Hatchet;900
308000131;[Imp] Imp Head (Fanged);900
308000133;[Imp] Smoldering Butterfly;900
308000134;[Imp] Mushroom;900
308000140;[Imp] Forked Hatchet;900
308000141;[Imp] Imp Head (Fanged);900
308000143;[Imp] Smoldering Butterfly;900
308000144;[Imp] Mushroom;900
308000150;[Imp] Forked Hatchet;900
308000151;[Imp] Imp Head (Fanged);900
308000154;[Imp] Smoldering Butterfly;900
308000155;[Imp] Mushroom;900
308000200;[Imp] Forked Hatchet;900
308000201;[Imp] Imp Head (Fanged);900
308000202;[Imp] Glintstone Firefly;900
308000210;[Imp] Forked Hatchet;900
308000211;[Imp] Imp Head (Fanged);900
308000212;[Imp] Glintstone Firefly;900
308000220;[Imp] Forked Hatchet;900
308000221;[Imp] Imp Head (Fanged);900
308000222;[Imp] Glintstone Firefly;900
308000230;[Imp] Forked Hatchet;900
308000231;[Imp] Imp Head (Fanged);900
308000232;[Imp] Glintstone Firefly;900
308000240;[Imp] Forked Hatchet;900
308000241;[Imp] Imp Head (Fanged);900
308000242;[Imp] Glintstone Firefly;900
308000250;[Imp] Forked Hatchet;900
308000251;[Imp] Imp Head (Fanged);900
308000252;[Imp] Glintstone Firefly;900
308000300;[Imp] Forked Hatchet;900
308000301;[Imp] Imp Head (Long-Tongued);900
308000310;[Imp] Forked Hatchet;900
308000311;[Imp] Imp Head (Long-Tongued);900
