Row ID;Row Name;Item Category 1
0;;2
1;;1
2;;0
100;;1
200;;1
300;;1
310;;1
2000;Flask of Crimson Tears;1
2001;Flask of Cerulean Tears;1
2010;Roped Fire Pot;1
2020;;1
2230;Small Golden Effigy;1
2520;;1
2700;Flask of Wondrous Physick;1
2900;;1
2910;;1
3000;;1
3010;;1
3020;;1
3030;;1
3040;;1
4820;Baldachin's Blessing;1
4900;Mending Rune of Perfect Order;1
4910;Mending Rune of the Death-Prince;1
4920;Mending Rune of the Fell Curse;1
5000;Flask of Crimson Tears, Flask of Crimson Tears +5, Flask of Crimson Tears +10, Flask of Cerulean Tears, Oil Pot;1
5010;Small Golden Effigy;1
5020;;1
5030;;1
5040;Immunizing Cured Meat;1
5200;;1
5210;;1
5220;;1
5230;;1
5240;;1
5250;;1
5260;;1
5270;;1
5280;Tarnished's Furled Finger;1
5400;Rune Arc;1
5401;Furlcalling Finger Remedy;1
5410;Rune Arc;1
5411;Furlcalling Finger Remedy;1
5420;Furlcalling Finger Remedy;1
5430;Rune Arc;1
5431;Furlcalling Finger Remedy;1
5440;Rune Arc;1
5441;Furlcalling Finger Remedy;1
5450;Rune Arc;1
5451;Furlcalling Finger Remedy;1
5500;Furlcalling Finger Remedy;1
5510;Furlcalling Finger Remedy;0
5510;Furlcalling Finger Remedy;1
5520;;0
5530;Furlcalling Finger Remedy;1
5540;Furlcalling Finger Remedy;1
5550;Furlcalling Finger Remedy;1
5620;Furlcalling Finger Remedy;1
5630;Furlcalling Finger Remedy;1
5640;Furlcalling Finger Remedy;1
5650;Furlcalling Finger Remedy;1
5670;Furlcalling Finger Remedy;1
5680;Furlcalling Finger Remedy;1
6000;;0
9000;;1
9010;;1
9020;;1
9030;Fetid Pot;1
10000;[Stormveil - Margit] Talisman Pouch;1
10010;[Stormveil - Godrick] Godrick's Great Rune;1
10011;[Stormveil - Godrick] Remembrance of the Grafted;1
10020;;0
10030;[Chapel of Anticipation - Grafed Scion] Ornamental Straight Sword;2
10031;[Chapel of Anticipation - Grafed Scion] Golden Beast Crest Shield;2
10040;[Leyndell - Morgott] Remembrance of the Omen King;1
10041;[Leyndell - Morgott] Morgott's Great Rune;1
10050;[Enia - 2 Great Runes] Talisman Pouch;1
10060;[Ashen Leyndell - Gideon] Scepter of the All-Knowing;2
10061;[Ashen Leyndell - Gideon] All-Knowing Helm;3
10062;[Ashen Leyndell - Gideon] All-Knowing Armor;3
10063;[Ashen Leyndell - Gideon] All-Knowing Gauntlets;3
10064;[Ashen Leyndell - Gideon] All-Knowing Greaves;3
10070;[Ashen Leyndell - Hoarah Loux] Remembrance of Hoarah Loux;1
10080;[Lake or Rot - Astel] Remembrance of the Naturalborn;1
10090;[Ainsel - Dragonkin Soldier] Frozen Lightning Spear;1
10100;[Siofra - Valiant Gargoyle] Gargoyle's Greatsword;2
10101;[Siofra - Valiant Gargoyle] Gargoyle's Twinblade;2
10110;[Deeproot Depths - Fortissax] Remembrance of the Lichdragon;1
10120;[Mohgwyn Palace - Mohg] Remembrance of the Blood Lord;1
10121;[Mohgwyn Palace - Mohg] Mohg's Great Rune;1
10130;;0
10140;[Farum Azula - Godskin Duo] Smithing-Stone Miner's Bell Bearing [4];1
10141;[Farum Azula - Godskin Duo] Ash of War: Black Flame Tornado;5
10150;[Farum Azula - Dragonlord Placidusax] Remembrance of the Dragonlord;1
10160;[Farum Azula - Maliketh] Remembrance of the Black Blade;1
10170;[Raya Lucaria - Red Wolf of Radagon] Memory Stone;1
10180;[Raya Lucaria - Rennala] Remembrance of the Full Moon Queen;1
10181;[Raya Lucaria - Rennala] Great Rune of the Unborn;1
10182;[Raya Lucaria - Rennala] None;0
10190;[Haligtree - Loretta] Loretta's Mastery;1
10191;[Haligtree - Loretta] Loretta's War Sickle;2
10200;[Haligtree - Malenia] Remembrance of the Rot Goddess;1
10201;[Haligtree - Malenia] Malenia's Great Rune;1
10210;[Volcano Manor - Godskin Noble] Godskin Stitcher;2
10211;[Volcano Manor - Godskin Noble] Noble Presence;1
10220;[Mt. Gelmir - Rykard] Remembrance of the Blasphemous;1
10221;[Mt. Gelmir - Rykard] Rykard's Great Rune;1
10230;[Erdtree - Elden Beast] Elden Remembrance;1
10240;;0
10250;[Mohgwyn Palace - Mohg] Bloodflame Talons;1
10260;[Ruin-Strewn Precipice - Magma Wyrm Makar] Magma Wyrm's Scalesword;2
10261;[Ruin-Strewn Precipice - Magma Wyrm Makar] Dragon Heart;1
10270;;0
10280;[Fringefolk Hero's Grave - Ulcerated Tree Spirit] Golden Seed;1
10281;[Fringefolk Hero's Grave - Ulcerated Tree Spirit] Banished Knight Oleg;1
10290;[Volcano Manor - Abducator Virgins] Inquisitor's Girandole;2
10300;[Caelid - Radahn] Remembrance of the Starscourge;1
10301;[Caelid - Radahn] Radahn's Great Rune;1
10310;[Mountaintops - Fire Giant] Remembrance of the Fire Giant;1
10320;[Siofra - Ancestor Spirit] Ancestral Follower Ashes;1
10330;[Nokron - Regal Ancestor Spirit] Remembrance of the Regal Ancestor;1
10340;[Nokron - Mimic Tear] Larval Tear;1
10341;[Nokron - Mimic Tear] Silver Tear Mask;3
10350;[Deeproot Depths - Fia's Champions] Fia's Mist;1
10730;[Mountaintops - Sanguine Noble] Sanguine Noble Hood;3
10731;[Mountaintops - Sanguine Noble] Sanguine Noble Robe;3
10732;[Mountaintops - Sanguine Noble] Sanguine Noble Bracelets;3
10733;[Mountaintops - Sanguine Noble] Sanguine Noble Trousers;3
10740;[Capital Outskirts - Fell Twins] Omenkiller Rollo;1
10800;[Weeping Penisula - Leonine Misbegotten] Blade Greatsword;2
10810;[Caria Manor - Loretta] Loretta's Greatbow;1
10811;[Caria Manor - Loretta] Ash of War: Loretta's Slash;5
