Row ID;Row Name;Change HP +
1;;-10
3;;-100
5;;-25
182;;-3
474;Heal - HP Regen;300
475;Blessing of the Erdtree - HP Regen;10
601;;-295
829;;30
834;;8
835;;1
855;;1
860;Gargoyle's Blackblade - Bullet;1
870;Reduvia - Bullet;100
875;;30
1502;;-10
1530;;30
1565;;-150
1575;;30
1576;Royal Greatsword - Bullet;30
1600;;15
1610;;-150
1615;;100
1616;;100
1621;;100
1622;;7
1625;Mohgwyn's Sacred Spear - Bullet;100
1641;;-10
1724;;30
1756;;100
1759;;100
1761;;100
1763;;50
1765;;35
1780;;100
1781;;100
1782;;100
1785;;7
1800;;30
1801;;30
1809;;30
1830;;-20
1831;;-40
1894;;30
1901;;30
1939;Serpent Bow [Attack];7
3115;Kukri;100
3120;Fetid Pot;12
3121;;12
3125;Swarm of Flies - Hemorrhage [Cycle];100
3126;Swarm of Flies  - Hemorrhage;100
3141;Freezing Grease [Attack];30
3143;Drawstring Freezing Grease [Attack];30
3145;;30
3147;;30
3176;Poison Grease - Right [Attack];7
3178;Drawstring Poison Grease - Right [Attack];7
3180;Poison Grease - Left [Attack];7
3182;Drawstring Poison Grease - Left [Attack];7
3191;Blood Grease - Right [Attack];100
3193;Drawstring Blood Grease - Right [Attack];100
3195;Blood Grease - Left [Attack];100
3197;Drawstring Blood Grease - Left [Attack];100
3300;;30
3307;;4
3308;;4
3309;;4
3311;Rot Grease - Right [Attack];15
3313;Drawstring Rot Grease - Right [Attack];15
3315;Rot Grease - Left [Attack];15
3317;Drawstring Rot Grease - Left [Attack];15
3360;Warming Stone;-25
3365;;10
3370;;7
3750;;7
3751;;100
4002;;7
4004;;7
4051;;8
4053;;8
4055;;30
4525;;7
4555;;8
5181;;-1
6400;Hemorrhage - Type 1 - Special 1;100
6401;Hemorrhage - Type 1 - Special 2;100
6402;Hemorrhage - Type 1 - Special 3;100
6403;Hemorrhage - Type 1 - Special 4;100
6404;Hemorrhage - Type 1 - Special 5;100
6405;Hemorrhage - Type 1 - Special 6;100
6406;Hemorrhage - Type 1 - Special 7;100
6410;Hemorrhage - Type 2 - Special 1;200
6411;Hemorrhage - Type 2 - Special 2;200
6412;Hemorrhage - Type 2 - Special 3;200
6413;Hemorrhage - Type 2 - Special 4;200
6414;Hemorrhage - Type 2 - Special 5;200
6415;Hemorrhage - Type 2 - Special 6;200
6500;Poison - Type 1 - Special 1;7
6501;Poison - Type 1 - Special 2;7
6502;Poison - Type 1 - Special 3;7
6503;Poison - Type 1 - Special 4;7
6504;Poison - Type 1 - Special 5;7
6505;Poison - Type 1 - Special 6;7
6510;Poison - Type 2 - Special 1;14
6511;Poison - Type 2 - Special 2;14
6512;Poison - Type 2 - Special 3;14
6513;Poison - Type 2 - Special 4;14
6514;Poison - Type 2 - Special 5;14
6515;Poison - Type 2 - Special 6;14
6600;Scarlet Rot - Type 1 - Special 1;15
6601;Scarlet Rot - Type 1 - Special 2;15
6602;Scarlet Rot - Type 1 - Special 3;15
6603;Scarlet Rot - Type 1 - Special 4;15
6604;Scarlet Rot - Type 1 - Special 5;15
6605;Scarlet Rot - Type 1 - Special 6;15
6700;Frostbite - Type 1 - Special 1;30
6701;Frostbite - Type 1 - Special 2;30
6702;Frostbite - Type 1 - Special 3;30
6703;Frostbite - Type 1 - Special 4;30
6704;Frostbite - Type 1 - Special 5;30
6705;Frostbite - Type 1 - Special 6;30
6750;Madness - Type 1 - Special 1;100
6751;Madness - Type 1 - Special 2;100
6752;Madness - Type 1 - Special 3;100
6753;Madness - Type 1 - Special 4;100
6754;Madness - Type 1 - Special 5;100
6755;Madness - Type 1 - Special 6;100
6840;;1
6841;;1
6845;Black Knife - Bullet;4
6850;[Incantation] Black Blade;1
6851;;1
8190;;-1
8208;;-8
8571;;14
10504;;-5
10691;Mohg - Bullet [Cycle];100
11605;;7
11606;;13
11612;;3
11613;;3
11691;Nox Swordstress/Silver Tear - Bullet;7
12061;;-5
13103;;-1
13104;;-1
13153;Ancestral Follower - Bullet;-2
13462;Putrid Corpse - Explosion;999
13559;;8
13560;;8
13781;;-5
13783;;-5
13856;Cleanrot Knight - Bullet;-7
13944;;30
14303;;100
14407;;-5
14465;;-5
14466;;-5
14858;;160
14894;;140
15466;;-30
15510;;-30
16620;;10
16621;;16
16622;;20
16623;;22
16624;;22
16625;;23
16626;;23
16627;;24
16955;;-50
17176;;-15
